===================================================
  DEM-GPU: High Density Packing Parameter Study
===================================================

--- Temperature: 0.1 ---
Testing Rho=0.40...Generated 500 points for shape type 0.
Simulation initialized. Seeding particles...
DEBUG: Found collision: 578 and 989 (slot 3)
DEBUG: Found collision: 589 and 659 (slot 4)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 567 and 763 (slot 1)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 576 and 891 (slot 1)
DEBUG: Found collision: 578 and 989 (slot 2)
DEBUG: Found collision: 589 and 659 (slot 3)
DEBUG: Found collision: 596 and 2 (slot 4)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 576 and 891 (slot 1)
DEBUG: Found collision: 578 and 989 (slot 2)
DEBUG: Found collision: 589 and 659 (slot 3)
DEBUG: Found collision: 596 and 2 (slot 4)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 611 and 721 (slot 4)
DEBUG: Found collision: 928 and 24 (slot 1)
DEBUG: Found collision: 935 and 466 (slot 2)
DEBUG: Found collision: 946 and 742 (slot 3)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 611 and 721 (slot 4)
DEBUG: Found collision: 928 and 24 (slot 1)
DEBUG: Found collision: 935 and 466 (slot 2)
DEBUG: Found collision: 946 and 742 (slot 3)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 928 and 24 (slot 1)
DEBUG: Found collision: 935 and 466 (slot 2)
DEBUG: Found collision: 937 and 953 (slot 3)
DEBUG: Found collision: 946 and 742 (slot 4)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 928 and 24 (slot 1)
DEBUG: Found collision: 935 and 466 (slot 2)
DEBUG: Found collision: 937 and 953 (slot 3)
DEBUG: Found collision: 946 and 742 (slot 4)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 928 and 24 (slot 1)
DEBUG: Found collision: 935 and 466 (slot 2)
DEBUG: Found collision: 937 and 953 (slot 3)
DEBUG: Found collision: 939 and 305 (slot 4)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 928 and 24 (slot 1)
DEBUG: Found collision: 935 and 466 (slot 2)
DEBUG: Found collision: 937 and 953 (slot 3)
DEBUG: Found collision: 939 and 305 (slot 4)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 928 and 24 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 1)
DEBUG: Found collision: 851 and 844 (slot 2)
DEBUG: Found collision: 860 and 786 (slot 3)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 928 and 24 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 1)
DEBUG: Found collision: 851 and 844 (slot 2)
DEBUG: Found collision: 860 and 786 (slot 3)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 210 and 153 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 1)
DEBUG: Found collision: 851 and 844 (slot 2)
DEBUG: Found collision: 860 and 786 (slot 3)
DEBUG: Found collision: 544 and 426 (slot 0)
DEBUG: Found collision: 832 and 786 (slot 1)
DEBUG: Found collision: 851 and 844 (slot 2)
DEBUG: Found collision: 860 and 786 (slot 3)
DEBUG: Found collision: 210 and 153 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 851 and 844 (slot 1)
DEBUG: Found collision: 860 and 786 (slot 2)
DEBUG: Found collision: 210 and 153 (slot 3)
DEBUG: Found collision: 221 and 609 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 2)
DEBUG: Found collision: 851 and 844 (slot 3)
DEBUG: Found collision: 860 and 786 (slot 4)
DEBUG: Found collision: 210 and 153 (slot 0)
DEBUG: Found collision: 221 and 609 (slot 1)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 851 and 844 (slot 1)
DEBUG: Found collision: 860 and 786 (slot 2)
DEBUG: Found collision: 210 and 153 (slot 3)
DEBUG: Found collision: 221 and 609 (slot 4)
DEBUG: Found collision: 769 and 953 (slot 3)
DEBUG: Found collision: 774 and 273 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 851 and 844 (slot 1)
DEBUG: Found collision: 860 and 786 (slot 2)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 851 and 844 (slot 1)
DEBUG: Found collision: 860 and 786 (slot 2)
DEBUG: Found collision: 210 and 153 (slot 3)
DEBUG: Found collision: 221 and 609 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 834 and 466 (slot 1)
DEBUG: Found collision: 860 and 786 (slot 2)
DEBUG: Found collision: 210 and 153 (slot 3)
DEBUG: Found collision: 221 and 609 (slot 4)
DEBUG: Found collision: 800 and 689 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 860 and 786 (slot 1)
DEBUG: Found collision: 210 and 153 (slot 2)
DEBUG: Found collision: 221 and 609 (slot 3)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 851 and 844 (slot 1)
DEBUG: Found collision: 860 and 786 (slot 2)
DEBUG: Found collision: 203 and 298 (slot 3)
DEBUG: Found collision: 210 and 153 (slot 4)
DEBUG: Found collision: 769 and 953 (slot 3)
DEBUG: Found collision: 774 and 273 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 851 and 844 (slot 1)
DEBUG: Found collision: 860 and 786 (slot 2)
DEBUG: Found collision: 898 and 594 (slot 4)
DEBUG: Found collision: 608 and 225 (slot 0)
DEBUG: Found collision: 627 and 867 (slot 1)
DEBUG: Found collision: 633 and 332 (slot 2)
DEBUG: Found collision: 639 and 475 (slot 3)
DEBUG: Found collision: 769 and 953 (slot 0)
DEBUG: Found collision: 799 and 941 (slot 1)
DEBUG: Found collision: 203 and 298 (slot 2)
DEBUG: Found collision: 215 and 844 (slot 3)
DEBUG: Found collision: 221 and 609 (slot 4)
DEBUG: Found collision: 808 and 953 (slot 3)
DEBUG: Found collision: 811 and 543 (slot 4)
DEBUG: Found collision: 769 and 953 (slot 0)
DEBUG: Found collision: 775 and 2 (slot 1)
DEBUG: Found collision: 799 and 941 (slot 2)
DEBUG: Found collision: 898 and 594 (slot 0)
DEBUG: Found collision: 899 and 736 (slot 1)
DEBUG: Found collision: 908 and 659 (slot 2)
DEBUG: Found collision: 915 and 657 (slot 3)
DEBUG: Found collision: 917 and 763 (slot 4)
DEBUG: Found collision: 898 and 594 (slot 0)
DEBUG: Found collision: 899 and 736 (slot 1)
DEBUG: Found collision: 908 and 659 (slot 2)
DEBUG: Found collision: 915 and 657 (slot 3)
DEBUG: Found collision: 917 and 763 (slot 4)
DEBUG: Found collision: 928 and 24 (slot 4)
DEBUG: Found collision: 898 and 594 (slot 0)
DEBUG: Found collision: 899 and 736 (slot 1)
DEBUG: Found collision: 908 and 659 (slot 2)
DEBUG: Found collision: 917 and 763 (slot 3)
DEBUG: Found collision: 898 and 594 (slot 0)
DEBUG: Found collision: 899 and 736 (slot 1)
