Created Shape ID 0 via Manager. Points: 0
Simulation initialized. Seeding particles...
Added Plane: Point(0.00, -5.00, 0.00) Normal(0.00, 1.00, 0.00)
Contact 0: vn=-0.065407, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.310859, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.310859, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.466289, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.032704, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.032704, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.049055, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.233145, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.233145, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.349717, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.024528, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.024528, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.036792, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.174858, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.174858, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.262288, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.018396, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.508396, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.517594, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.131144, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.131144, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.196716, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.258797, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.258797, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.388195, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.098358, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.098358, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.147537, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.194098, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.194098, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.291146, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.073768, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.073768, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.110653, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.145573, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.145573, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.218360, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.055326, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.055326, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.082989, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.109180, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.109180, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.163770, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.041495, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.041495, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.062242, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.081885, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.081885, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.122827, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.031121, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.031121, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.046682, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.061414, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.061414, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.092121, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.023341, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.023341, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.035011, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.046060, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.046060, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.069090, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.017506, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.017506, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.026258, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.034545, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.034545, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.051818, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.013129, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.013129, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.019694, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.025909, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.025909, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.038863, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.009847, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.009847, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.014770, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.019432, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-8.276368, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.509432, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.519148, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-4.145569, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.009716, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.007385, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-2.080170, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.264431, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-2.072785, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.259574, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.391789, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-2.076478, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.132216, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-1.040085, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-2.078324, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.262002, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-1.038239, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.195895, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.326896, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-1.558281, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.131001, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-1.039162, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-1.818303, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.228949, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.779140, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.163448, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.277922, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-1.298722, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.114474, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.909151, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-1.558512, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.196198, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.649361, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.138961, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.237060, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-1.103936, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.098099, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.779256, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-1.331224, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.167580, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.551968, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.118530, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.202320, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.941596, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.083790, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.665612, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-1.136410, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.143055, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.470798, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.101160, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.172688, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.803604, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.071527, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.568205, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.970007, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.122108, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.401802, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.086344, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.147398, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.685905, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.061054, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.485004, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.827956, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.104226, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.342952, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.073699, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.125812, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.585454, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.052113, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.413978, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.706705, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.088962, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.292727, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.062906, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.107387, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.499716, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.044481, n=(0.000000, -1.000000, 0.000000), idA=2, idB=3
Contact 3: vn=-0.353352, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.603211, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.075934, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.543693, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.581661, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.301605, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.301605, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.452408, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.290830, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.290830, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.436245, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.226204, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.226204, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.339306, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.218123, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.218123, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.327184, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.169653, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.169653, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.254479, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.163592, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.163592, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.245388, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.127240, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.127240, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.190860, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.122694, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.122694, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.184041, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.095430, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.095430, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.143145, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.092021, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.092021, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.138031, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.071572, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.071572, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.107359, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.069015, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.069015, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.103523, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.053679, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.053679, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.080519, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.051762, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.051762, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.077642, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.040259, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.040259, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.060389, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.038821, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.038821, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.058232, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.030195, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 3: vn=-0.030195, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.045292, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.029116, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
